trial_id,test_acc,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,experiment_tag,config.learning_rate,config.epochs,config.batch_size
6614b5fc,0.6760225806272391,0.009585380554199219,True,,,2,3c99abdb0a764041947cc263ecde4da7,2020-11-19_23-22-28,1605828148,3300.2937870025635,240059,thetagpu21,140.221.68.31,3300.2937870025635,0,2,"1_batch_size=61,epochs=61,learning_rate=0.055168",0.05516777279880586,61,61
66286642,0.676014499819797,0.009701967239379883,True,,,2,1ee36cdf2daa4a52ad3166a5afb1a4d5,2020-11-19_23-07-09,1605827229,2381.323751449585,240023,thetagpu21,140.221.68.31,2381.323751449585,0,2,"2_batch_size=44,epochs=44,learning_rate=0.060579",0.06057898126583475,44,44
662adfbc,0.6753386394544081,0.013291597366333008,True,,,2,5502fee1bf8d4d27aeb1062d7e4a1473,2020-11-19_22-41-36,1605825696,848.9129238128662,239917,thetagpu21,140.221.68.31,848.9129238128662,0,2,"3_batch_size=62,epochs=15,learning_rate=0.051754",0.051754448961137706,15,62
662ccc1e,0.676014499819797,0.010032415390014648,True,,,2,e911e52ca03f4482a0bc83ad8fd0d3ed,2020-11-19_23-03-45,1605827025,2177.54869389534,239960,thetagpu21,140.221.68.31,2177.54869389534,0,2,"4_batch_size=44,epochs=40,learning_rate=0.083863",0.08386277629110868,40,44
662eaec6,0.6816658222675324,0.009089946746826172,True,,,2,0133b1763f1a43939b134f04b109acc9,2020-11-19_22-44-16,1605825856,1008.2013082504272,240069,thetagpu21,140.221.68.31,1008.2013082504272,0,2,"5_batch_size=27,epochs=17,learning_rate=0.075497",0.07549654930004825,17,27
6630841c,0.6771245621285349,0.009406566619873047,True,,,2,7bbdec7014a447bea5839a11f3924450,2020-11-19_22-42-39,1605825759,911.7168338298798,240028,thetagpu21,140.221.68.31,911.7168338298798,0,2,"6_batch_size=38,epochs=16,learning_rate=0.042171",0.04217065963858832,16,38
6632461c,0.6776866468787194,0.009544134140014648,True,,,2,48e6b2b2bbd54823919bc79211e90c75,2020-11-19_23-26-43,1605828403,3555.7353558540344,240068,thetagpu21,140.221.68.31,3555.7353558540344,0,2,"7_batch_size=40,epochs=64,learning_rate=0.087136",0.08713555361039924,64,40
66341b0e,0.6813079838951429,0.007338523864746094,True,,,2,8a47fd75018d4782858bfcb57e92761b,2020-11-19_22-45-00,1605825900,1052.1933975219727,239886,thetagpu21,140.221.68.31,1052.1933975219727,0,2,"8_batch_size=57,epochs=19,learning_rate=0.049572",0.04957207510807572,19,57
6635d53e,0.6749215967514935,0.008023262023925781,True,,,2,82f4b8a91e9646a5a241c61556b99494,2020-11-19_23-08-11,1605827291,1591.2329785823822,240034,thetagpu21,140.221.68.31,1591.2329785823822,0,2,"9_batch_size=60,epochs=29,learning_rate=0.095178",0.09517841271664287,29,60
61e776b6,0.6769092179834842,0.008726358413696289,True,,,2,49467ca5b2b6465ca7d8b777b3253165,2020-11-19_23-36-09,1605828969,3207.2987101078033,239986,thetagpu21,140.221.68.31,3207.2987101078033,0,2,"10_batch_size=31,epochs=57,learning_rate=0.060514",0.06051361311301991,57,31
