trial_id,test_acc,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,experiment_tag,config.learning_rate,config.epochs,config.batch_size
0dee30ce,0.7067209964289385,0.00853729248046875,True,,,2,b0ae205a222d49368928146f811947d2,2020-11-20_00-29-31,1605832171,3176.22238445282,32587,thetagpu21,140.221.68.31,3176.22238445282,0,2,"1_batch_size=59,epochs=59,learning_rate=0.028967",0.028967123544617685,59,59
0dff6902,0.7402813688142976,0.009229898452758789,True,,,2,809d4a3de4a748158c75fc5a85ff3ca2,2020-11-20_00-21-13,1605831673,2678.4690823554993,32584,thetagpu21,140.221.68.31,2678.4690823554993,0,2,"2_batch_size=30,epochs=47,learning_rate=0.021639",0.021638514893822954,47,30
0e015d3e,0.6753386394544081,0.008817911148071289,True,,,2,60e5ce17557c4b4fa4207dc91ed0ee4c,2020-11-20_00-01-51,1605830511,1516.3471953868866,32566,thetagpu21,140.221.68.31,1516.3471953868866,0,2,"3_batch_size=62,epochs=28,learning_rate=0.037148",0.037147843294144355,28,62
0e06c562,0.6752389520406723,0.012964487075805664,True,,,2,91a3276acf6a430497df32ec1f07c5ea,2020-11-19_23-48-36,1605829716,721.2648096084595,32651,thetagpu21,140.221.68.31,721.2648096084595,0,2,"4_batch_size=64,epochs=13,learning_rate=0.057336",0.05733606984588785,13,64
0e0b2792,0.7129405778646469,0.008772134780883789,True,,,2,f0889616f87948638b1103797c3cb378,2020-11-19_23-48-58,1605829738,743.7682089805603,32507,thetagpu21,140.221.68.31,743.7682089805603,0,2,"5_batch_size=27,epochs=12,learning_rate=0.0092696",0.009269631628694094,12,27
0e123852,0.7440850894520248,0.009291410446166992,True,,,2,1c6f3cebcb8a4dbf8358f70929bc2e63,2020-11-20_00-30-25,1605832225,3229.9107100963593,32667,thetagpu21,140.221.68.31,3229.9107100963593,0,2,"6_batch_size=29,epochs=56,learning_rate=0.037587",0.037586504109232775,56,29
0e1403ee,0.6755751053492228,0.009457111358642578,True,,,2,7844caef0ccd415daf0e2bcca7c524e9,2020-11-20_00-03-54,1605830634,1639.077716588974,32647,thetagpu21,140.221.68.31,1639.077716588974,0,2,"7_batch_size=45,epochs=29,learning_rate=0.010955",0.010955238269209754,29,45
0e15e9ac,0.6504837186075747,0.007280588150024414,True,,,2,977ec89407a143988e6874cbff5368c4,2020-11-20_00-01-08,1605830468,1473.463721036911,32577,thetagpu21,140.221.68.31,1473.463721036911,0,2,"8_batch_size=63,epochs=27,learning_rate=0.0040526",0.004052550286502119,27,63
0e17abac,0.6650463500801398,0.009453773498535156,True,,,2,a4e63b1ed9da48979827a2e6447761b8,2020-11-20_00-01-03,1605830463,744.4930310249329,32550,thetagpu21,140.221.68.31,744.4930310249329,0,2,"9_batch_size=41,epochs=13,learning_rate=0.017272",0.017272130053598827,13,41
bdb2b68c,0.6749215967514935,0.009502887725830078,True,,,2,c206e6637ad64391b2f9d5272fb2cb32,2020-11-20_00-32-02,1605832322,2580.8195629119873,32638,thetagpu21,140.221.68.31,2580.8195629119873,0,2,"10_batch_size=60,epochs=46,learning_rate=0.049997",0.04999689958690844,46,60
