,trial_id,test_acc,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,experiment_tag,config.learning_rate,config.epochs,config.batch_size
17,d444b082,0.6765702405037024,0.008732080459594727,True,,,2,bb6162fde1b84c0085af4b7fd4f4296d,2020-11-20_01-46-23,1605836783,3590.080180883408,51487,thetagpu17,140.221.68.27,3590.080180883408,0,2,"8_batch_size=52,epochs=62,learning_rate=0.0071545",0.007154491802970509,62,52
18,d446d54c,0.6767974189099144,0.008583784103393555,True,,,2,de4b57f7c6534ebeb38d56f2205c90ca,2020-11-20_02-44-06,1605840246,4139.1775765419015,51475,thetagpu17,140.221.68.27,4139.1775765419015,0,2,"9_batch_size=59,epochs=73,learning_rate=0.037295",0.03729481572405658,73,59
19,9d7c37da,0.6819936647301629,0.008532524108886719,True,,,2,89b3c7c712b342a287828b1a77c4ca6d,2020-11-20_02-58-57,1605841137,4578.982601165772,51513,thetagpu17,140.221.68.27,4578.982601165772,0,2,"10_batch_size=48,epochs=75,learning_rate=0.02717",0.027169574282467863,75,48
20,6614b5fc,0.6760225806272391,0.00958538055419922,True,,,2,3c99abdb0a764041947cc263ecde4da7,2020-11-19_23-22-28,1605828148,3300.2937870025635,240059,thetagpu21,140.221.68.31,3300.2937870025635,0,2,"1_batch_size=61,epochs=61,learning_rate=0.055168",0.055167772798805866,61,61
21,66286642,0.676014499819797,0.009701967239379885,True,,,2,1ee36cdf2daa4a52ad3166a5afb1a4d5,2020-11-19_23-07-09,1605827229,2381.323751449585,240023,thetagpu21,140.221.68.31,2381.323751449585,0,2,"2_batch_size=44,epochs=44,learning_rate=0.060579",0.06057898126583475,44,44
22,662adfbc,0.6753386394544081,0.013291597366333008,True,,,2,5502fee1bf8d4d27aeb1062d7e4a1473,2020-11-19_22-41-36,1605825696,848.9129238128662,239917,thetagpu21,140.221.68.31,848.9129238128662,0,2,"3_batch_size=62,epochs=15,learning_rate=0.051754",0.051754448961137706,15,62
23,662ccc1e,0.676014499819797,0.010032415390014648,True,,,2,e911e52ca03f4482a0bc83ad8fd0d3ed,2020-11-19_23-03-45,1605827025,2177.54869389534,239960,thetagpu21,140.221.68.31,2177.54869389534,0,2,"4_batch_size=44,epochs=40,learning_rate=0.083863",0.08386277629110868,40,44
24,662eaec6,0.6816658222675324,0.009089946746826172,True,,,2,0133b1763f1a43939b134f04b109acc9,2020-11-19_22-44-16,1605825856,1008.2013082504272,240069,thetagpu21,140.221.68.31,1008.2013082504272,0,2,"5_batch_size=27,epochs=17,learning_rate=0.075497",0.07549654930004825,17,27
25,6630841c,0.6771245621285349,0.009406566619873049,True,,,2,7bbdec7014a447bea5839a11f3924450,2020-11-19_22-42-39,1605825759,911.7168338298798,240028,thetagpu21,140.221.68.31,911.7168338298798,0,2,"6_batch_size=38,epochs=16,learning_rate=0.042171",0.04217065963858832,16,38
26,6632461c,0.6776866468787194,0.009544134140014648,True,,,2,48e6b2b2bbd54823919bc79211e90c75,2020-11-19_23-26-43,1605828403,3555.7353558540344,240068,thetagpu21,140.221.68.31,3555.7353558540344,0,2,"7_batch_size=40,epochs=64,learning_rate=0.087136",0.08713555361039924,64,40
