trial_id,test_acc,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,experiment_tag,config.learning_rate,config.epochs,config.batch_size
62f2f488,0.6771245621285349,0.012217521667480469,True,,,2,609a795ba8e64e89a945e6ac1614586e,2020-11-19_23-20-32,1605828032,3189.9688811302185,214443,thetagpu17,140.221.68.27,3189.9688811302185,0,2,"1_batch_size=38,epochs=57,learning_rate=0.088648",0.0886479010182491,57,38
62fa2fe6,0.6763010079210455,0.007910490036010742,True,,,2,548ed1d6016f4b3899387ba146365459,2020-11-19_23-45-40,1605829540,4698.173782110214,214456,thetagpu17,140.221.68.27,4698.173782110214,0,2,"2_batch_size=46,epochs=88,learning_rate=0.0616",0.06160016454645994,88,46
62fcb2e8,0.6927458768089613,0.012769460678100586,True,,,2,9dc5c615caeb4f029b21412ca5277912,2020-11-19_23-10-56,1605827456,2613.7562520504,214431,thetagpu17,140.221.68.27,2613.7562520504,0,2,"3_batch_size=56,epochs=48,learning_rate=0.06469",0.06469021372452136,48,56
62fe8c62,0.6775559037923813,0.009954452514648438,True,,,2,3f054fd113134e14893db203886eacff,2020-11-19_23-27-22,1605828442,3600.0857911109924,214376,thetagpu17,140.221.68.27,3600.0857911109924,0,2,"4_batch_size=34,epochs=61,learning_rate=0.095888",0.09588792250999734,61,34
6300e03e,0.6760225806272391,0.008926153182983398,True,,,2,edd56460fe4840f79495ae774e1c9348,2020-11-19_23-45-30,1605829530,4687.508930921555,214359,thetagpu17,140.221.68.27,4687.508930921555,0,2,"5_batch_size=61,epochs=88,learning_rate=0.097248",0.09724792186563815,88,61
63033032,0.6761682617821192,0.008507490158081055,True,,,2,132777de78824b45b40f368a1f3dffcf,2020-11-20_00-00-47,1605830447,5604.584931135178,214412,thetagpu17,140.221.68.27,5604.584931135178,0,2,"6_batch_size=53,epochs=86,learning_rate=0.081156",0.08115641119017758,86,53
63054e08,0.6800948708760933,0.009605169296264648,True,,,2,1238743d6b004924ad265353c6ab5516,2020-11-19_23-46-39,1605829599,4757.332772254944,214483,thetagpu17,140.221.68.27,4757.332772254944,0,2,"7_batch_size=33,epochs=82,learning_rate=0.062569",0.0625690110587355,82,33
630770ca,0.6776058644346603,0.009439706802368164,True,,,2,cb50ee1da4784ea9a05338b4b2e3b670,2020-11-19_23-38-17,1605829097,4254.844361305237,214420,thetagpu17,140.221.68.27,4254.844361305237,0,2,"8_batch_size=26,epochs=71,learning_rate=0.088897",0.08889712541060553,71,26
630994fe,0.6769850697201579,0.008538484573364258,True,,,2,7d8196b405a04fafaf0c67158f278e15,2020-11-20_00-20-41,1605831641,4181.829159021378,214468,thetagpu17,140.221.68.27,4181.829159021378,0,2,"9_batch_size=30,epochs=74,learning_rate=0.09411",0.09411037474348843,74,30
7a9c35da,0.6816658222675324,0.009274005889892578,True,,,2,57a0bc1bea52443c8a66d1607fb442c1,2020-11-20_00-46-06,1605833166,5131.6480367183685,214450,thetagpu17,140.221.68.27,5131.6480367183685,0,2,"10_batch_size=27,epochs=85,learning_rate=0.061188",0.061187617256343065,85,27
